         25855683 function calls (25855493 primitive calls) in 11.397 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.001    0.000 inspect.py:2859(from_callable)
     10/5    0.000    0.000    0.001    0.000 inspect.py:2246(_signature_from_callable)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 dataclasses.py:575(_cmp_fn)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
       45    0.000    0.000    0.000    0.000 typing.py:271(inner)
       10    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        9    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method io.open}
        5    0.000    0.000    0.000    0.000 inspect.py:3065(__str__)
        7    0.000    0.000    0.000    0.000 spell.py:460(from_json_string)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        1    0.000    0.000    0.000    0.000 damage_parameters.py:108(from_string)
     31/9    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.000    0.000 damage_parameters.py:8(DamageParameters)
       40    0.000    0.000    0.000    0.000 inspect.py:2582(__str__)
        5    0.000    0.000    0.000    0.000 inspect.py:2152(_signature_from_function)
        9    0.000    0.000    0.000    0.000 typing.py:832(__getitem__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
       14    0.000    0.000    0.000    0.000 typing.py:739(__init__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:863(<listcomp>)
        3    0.000    0.000    0.000    0.000 re.py:188(match)
       11    0.000    0.000    0.000    0.000 typing.py:841(copy_with)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       40    0.000    0.000    0.000    0.000 dataclasses.py:671(_get_field)
       45    0.000    0.000    0.000    0.000 inspect.py:1233(formatannotation)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
       34    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
      338    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
    79/70    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        9    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        7    0.000    0.000    0.000    0.000 __init__.py:299(loads)
       17    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       87    0.000    0.000    0.000    0.000 typing.py:713(__setattr__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       27    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF812BD4C60}
        1    0.000    0.000    0.000    0.000 damage_parameters.py:89(_check_parameter)
       10    0.000    0.000    0.000    0.000 inspect.py:2781(__init__)
        7    0.000    0.000    0.000    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.000    0.000 spell.py:13(SpellOutput)
    27/25    0.000    0.000    0.000    0.000 typing.py:786(__repr__)
       45    0.000    0.000    0.000    0.000 inspect.py:2498(__init__)
       20    0.000    0.000    0.000    0.000 typing.py:137(_type_check)
       14    0.000    0.000    0.000    0.000 typing.py:677(__init__)
      211    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        5    0.000    0.000    0.000    0.000 inspect.py:1840(_signature_bound_method)
        1    0.000    0.000    0.000    0.000 re.py:203(sub)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        3    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
        1    0.000    0.000    0.000    0.000 stats.py:16(Damages)
        4    0.000    0.000    0.000    0.000 enum.py:971(__or__)
        7    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 typing.py:352(__getitem__)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 typing.py:434(Union)
      152    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      346    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
    37/15    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      410    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       43    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
        3    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
    27/25    0.000    0.000    0.000    0.000 typing.py:791(<listcomp>)
       35    0.000    0.000    0.000    0.000 spell.py:344(set_base_damages)
        2    0.000    0.000    0.000    0.000 typing.py:358(__getitem__)
      128    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       87    0.000    0.000    0.000    0.000 typing.py:665(_is_dunder)
       86    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       24    0.000    0.000    0.000    0.000 typing.py:837(<genexpr>)
        2    0.000    0.000    0.000    0.000 typing.py:909(__getitem__)
        5    0.000    0.000    0.000    0.000 inspect.py:2873(replace)
        2    0.000    0.000    0.000    0.000 typing.py:481(Literal)
    46/42    0.000    0.000    0.000    0.000 typing.py:170(_type_repr)
        2    0.000    0.000    0.000    0.000 enum.py:928(_missing_)
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 spell_chain.py:22(SpellChains)
       40    0.000    0.000    0.000    0.000 dataclasses.py:416(_field_init)
       40    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
      122    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        5    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        1    0.000    0.000    0.000    0.000 spell.py:41(SpellParameters)
        3    0.000    0.000    0.000    0.000 typing.py:466(<genexpr>)
       20    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      153    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 spell_chain.py:11(ComputationData)
        8    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        7    0.000    0.000    0.000    0.000 spell.py:450(check_json_validity)
        1    0.000    0.000    0.000    0.000 spell_set.py:28(get_spell_list_single_target)
      317    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 enum.py:977(__and__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        2    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
        1    0.000    0.000    0.000    0.000 stats.py:9(Characteristics)
        6    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       50    0.000    0.000    0.000    0.000 inspect.py:2830(<genexpr>)
       34    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        1    0.000    0.000    0.000    0.000 typing.py:524(__init__)
