         15454404 function calls (15454214 primitive calls) in 7.478 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 re.py:188(match)
        5    0.000    0.000    0.000    0.000 dataclasses.py:863(<listcomp>)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       45    0.000    0.000    0.000    0.000 inspect.py:1233(formatannotation)
       40    0.000    0.000    0.000    0.000 dataclasses.py:671(_get_field)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
      338    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        9    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
    79/70    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        7    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 spell.py:13(SpellOutput)
       17    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       87    0.000    0.000    0.000    0.000 typing.py:713(__setattr__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.000    0.000 damage_parameters.py:92(_check_parameter)
        7    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       20    0.000    0.000    0.000    0.000 typing.py:137(_type_check)
        1    0.000    0.000    0.000    0.000 re.py:203(sub)
      211    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        4    0.000    0.000    0.000    0.000 uuid.py:138(__init__)
    27/25    0.000    0.000    0.000    0.000 typing.py:786(__repr__)
       45    0.000    0.000    0.000    0.000 inspect.py:2498(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        6    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
       10    0.000    0.000    0.000    0.000 inspect.py:2781(__init__)
       14    0.000    0.000    0.000    0.000 typing.py:677(__init__)
        1    0.000    0.000    0.000    0.000 stats.py:9(Characteristics)
        1    0.000    0.000    0.000    0.000 typing.py:352(__getitem__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        1    0.000    0.000    0.000    0.000 typing.py:434(Union)
        3    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
        6    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       27    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFFEDB34C60}
        5    0.000    0.000    0.000    0.000 inspect.py:1840(_signature_bound_method)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        7    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        4    0.000    0.000    0.000    0.000 enum.py:971(__or__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        1    0.000    0.000    0.000    0.000 stats.py:16(Damages)
      152    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
    37/15    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
      346    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      410    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       43    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
    27/25    0.000    0.000    0.000    0.000 typing.py:791(<listcomp>)
