         25855683 function calls (25855493 primitive calls) in 11.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27/25    0.000    0.000    0.000    0.000 typing.py:791(<listcomp>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.004    0.004 __init__.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        6    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       17    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       10    0.000    0.000    0.000    0.000 inspect.py:494(unwrap)
       75    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       34    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        9    0.000    0.000    0.000    0.000 enum.py:977(__and__)
       17    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       64    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:863(<listcomp>)
        5    0.000    0.000    0.001    0.000 dataclasses.py:539(_repr_fn)
       34    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       75    0.000    0.000    0.000    0.000 dataclasses.py:391(<genexpr>)
       46    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        2    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
        9    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
        4    0.000    0.000    0.000    0.000 uuid.py:138(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       40    0.000    0.000    0.000    0.000 dataclasses.py:597(_is_classvar)
       14    0.000    0.000    0.000    0.000 typing.py:677(__init__)
       55    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 damage_parameters.py:108(from_string)
       11    0.000    0.000    0.000    0.000 typing.py:841(copy_with)
        1    0.000    0.000    0.009    0.009 stats.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:481(Literal)
        5    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
        1    0.000    0.000    0.000    0.000 spell_chain.py:40(<listcomp>)
       10    0.000    0.000    0.000    0.000 dataclasses.py:353(<listcomp>)
      130    0.000    0.000    0.000    0.000 inspect.py:2560(kind)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       10    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.000    0.000 spell.py:64(SpellBuff)
        7    0.000    0.000    0.000    0.000 __init__.py:299(loads)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       11    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        9    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       15    0.000    0.000    0.000    0.000 dataclasses.py:753(_set_new_attribute)
       40    0.000    0.000    0.000    0.000 dataclasses.py:404(_field_assign)
        7    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        4    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
       10    0.000    0.000    0.000    0.000 dataclasses.py:344(_tuple_str)
        5    0.000    0.000    0.000    0.000 dataclasses.py:507(<dictcomp>)
        5    0.000    0.000    0.000    0.000 dataclasses.py:532(<listcomp>)
       23    0.000    0.000    0.000    0.000 dataclasses.py:281(__set_name__)
       33    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.010    0.010 damage_parameters.py:1(<module>)
