         4594132 function calls (4593936 primitive calls) in 2.683 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
    27/25    0.000    0.000    0.000    0.000 typing.py:786(__repr__)
       40    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
    43/39    0.000    0.000    0.000    0.000 typing.py:170(_type_repr)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       75    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       34    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       64    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        9    0.000    0.000    0.000    0.000 enum.py:977(__and__)
        9    0.000    0.000    0.001    0.000 sre_parse.py:939(parse)
       86    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       34    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
        9    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 spell.py:15(SpellOutput)
        5    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
       53    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        8    0.000    0.000    0.000    0.000 typing.py:832(__getitem__)
       40    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
        1    0.000    0.000    0.003    0.003 spell.py:1(<module>)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       33    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       45    0.000    0.000    0.000    0.000 typing.py:271(inner)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.001    0.001 spell_chain.py:150(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       71    0.000    0.000    0.000    0.000 enum.py:670(__new__)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.008    0.008 stats.py:1(<module>)
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        5    0.000    0.000    0.000    0.000 inspect.py:1840(_signature_bound_method)
       72    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 uuid.py:138(__init__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       17    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
        7    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       29    0.000    0.000    0.000    0.000 spell_chain.py:28(add_spell)
        7    0.000    0.000    0.000    0.000 spell.py:428(set_name)
       81    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        1    0.000    0.000    0.000    0.000 damage_parameters.py:9(DamageParameters)
        3    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       40    0.000    0.000    0.000    0.000 dataclasses.py:470(_init_param)
        1    0.000    0.000    0.010    0.010 damage_parameters.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:191(_collect_type_vars)
       34    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.000    0.000 spell_chain.py:40(<listcomp>)
       17    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.004    0.004 __init__.py:1(<module>)
       46    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     18/5    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        5    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
       10    0.000    0.000    0.000    0.000 inspect.py:494(unwrap)
       50    0.000    0.000    0.000    0.000 inspect.py:2830(<genexpr>)
        2    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
    27/25    0.000    0.000    0.000    0.000 typing.py:791(<listcomp>)
     11/8    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 spell_set.py:28(get_spell_list_single_target)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       75    0.000    0.000    0.000    0.000 dataclasses.py:391(<genexpr>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        5    0.000    0.000    0.001    0.000 dataclasses.py:539(_repr_fn)
        5    0.000    0.000    0.000    0.000 dataclasses.py:863(<listcomp>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        9    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
       55    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       40    0.000    0.000    0.000    0.000 dataclasses.py:597(_is_classvar)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       13    0.000    0.000    0.000    0.000 typing.py:677(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:841(copy_with)
        1    0.000    0.000    0.000    0.000 damage_parameters.py:108(from_string)
       10    0.000    0.000    0.000    0.000 dataclasses.py:353(<listcomp>)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        3    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
      130    0.000    0.000    0.000    0.000 inspect.py:2560(kind)
       44    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
       11    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 spell.py:66(SpellBuff)
       40    0.000    0.000    0.000    0.000 dataclasses.py:404(_field_assign)
        5    0.000    0.000    0.000    0.000 dataclasses.py:507(<dictcomp>)
       10    0.000    0.000    0.000    0.000 dataclasses.py:344(_tuple_str)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        4    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        7    0.000    0.000    0.000    0.000 __init__.py:299(loads)
       22    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       32    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       15    0.000    0.000    0.000    0.000 dataclasses.py:753(_set_new_attribute)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        3    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        7    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        7    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        5    0.000    0.000    0.000    0.000 dataclasses.py:532(<listcomp>)
       68    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       23    0.000    0.000    0.000    0.000 dataclasses.py:281(__set_name__)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        8    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       53    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        9    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       11    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        2    0.000    0.000    0.000    0.000 typing.py:481(Literal)
        1    0.000    0.000    0.000    0.000 damages.py:1(<module>)
       23    0.000    0.000    0.000    0.000 types.py:171(__get__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       68    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 typing.py:434(Union)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       85    0.000    0.000    0.000    0.000 inspect.py:2548(name)
        7    0.000    0.000    0.000    0.000 spell.py:178(__init__)
        7    0.000    0.000    0.000    0.000 spell.py:449(check_json_validity)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:543(<listcomp>)
       40    0.000    0.000    0.000    0.000 dataclasses.py:605(_is_initvar)
       11    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 typing.py:909(__getitem__)
       87    0.000    0.000    0.000    0.000 spell.py:435(get_short_name)
       20    0.000    0.000    0.000    0.000 typing.py:837(<genexpr>)
        6    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
        9    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
        1    0.000    0.000    0.000    0.000 spell_chain.py:11(ComputationData)
        7    0.000    0.000    0.000    0.000 spell.py:45(<lambda>)
       12    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        5    0.000    0.000    0.000    0.000 inspect.py:1866(_signature_is_builtin)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       30    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        4    0.000    0.000    0.000    0.000 enum.py:971(__or__)
        1    0.000    0.000    0.000    0.000 spell.py:177(Spell)
        5    0.000    0.000    0.001    0.000 dataclasses.py:575(_cmp_fn)
       45    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
       17    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
        3    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
       15    0.000    0.000    0.000    0.000 inspect.py:1748(_signature_get_user_defined_method)
       37    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 spell.py:45(<listcomp>)
        7    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        5    0.000    0.000    0.001    0.000 inspect.py:2859(from_callable)
       32    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 spell.py:43(SpellParameters)
       18    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        5    0.000    0.000    0.000    0.000 inspect.py:2873(replace)
        5    0.000    0.000    0.001    0.000 inspect.py:3111(signature)
        1    0.000    0.000    0.000    0.000 spell_set.py:1(<module>)
        5    0.000    0.000    0.000    0.000 dataclasses.py:924(<listcomp>)
        1    0.000    0.000    0.000    0.000 uuid.py:84(UUID)
       23    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       35    0.000    0.000    0.000    0.000 typing.py:743(<genexpr>)
        7    0.000    0.000    0.000    0.000 spell.py:362(set_crit_chance)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
        9    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       20    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
        5    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 spell_chain.py:22(SpellChains)
       20    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
        1    0.000    0.000    0.000    0.000 spell_chain.py:38(<listcomp>)
       34    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        4    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        5    0.000    0.000    0.000    0.000 dataclasses.py:940(<listcomp>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        5    0.000    0.000    0.004    0.001 dataclasses.py:1012(wrap)
        7    0.000    0.000    0.000    0.000 spell.py:296(can_reach_po)
        3    0.000    0.000    0.000    0.000 enum.py:81(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        7    0.000    0.000    0.000    0.000 spell.py:409(set_po)
