         6448772 function calls (6448576 primitive calls) in 3.094 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        6    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
       45    0.000    0.000    0.000    0.000 inspect.py:2498(__init__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
        1    0.000    0.000    0.000    0.000 spell.py:14(SpellOutput)
       10    0.000    0.000    0.000    0.000 inspect.py:2781(__init__)
       17    0.000    0.000    0.000    0.000 typing.py:137(_type_check)
      218    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        1    0.000    0.000    0.000    0.000 re.py:203(sub)
        2    0.000    0.000    0.000    0.000 enum.py:928(_missing_)
        6    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
        3    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
       13    0.000    0.000    0.000    0.000 typing.py:677(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
    37/15    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        5    0.000    0.000    0.000    0.000 inspect.py:1840(_signature_bound_method)
        7    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 stats.py:18(Damages)
      152    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      426    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:352(__getitem__)
      352    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        1    0.000    0.000    0.000    0.000 typing.py:434(Union)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       40    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
    27/25    0.000    0.000    0.000    0.000 typing.py:791(<listcomp>)
       86    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       27    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF812D74C60}
        2    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
       35    0.000    0.000    0.000    0.000 spell.py:345(set_base_damages)
        5    0.000    0.000    0.000    0.000 inspect.py:2873(replace)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      156    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       43    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
        2    0.000    0.000    0.000    0.000 typing.py:358(__getitem__)
       20    0.000    0.000    0.000    0.000 typing.py:837(<genexpr>)
       28    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 typing.py:909(__getitem__)
       81    0.000    0.000    0.000    0.000 typing.py:665(_is_dunder)
    43/39    0.000    0.000    0.000    0.000 typing.py:170(_type_repr)
      128    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
        6    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 uuid.py:78(SafeUUID)
        2    0.000    0.000    0.000    0.000 typing.py:481(Literal)
       40    0.000    0.000    0.000    0.000 dataclasses.py:416(_field_init)
      122    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        5    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
        9    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 spell_chain.py:22(SpellChains)
        7    0.000    0.000    0.000    0.000 spell.py:177(__init__)
       10    0.000    0.000    0.000    0.000 inspect.py:494(unwrap)
        3    0.000    0.000    0.000    0.000 typing.py:466(<genexpr>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
      334    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       17    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
        5    0.000    0.000    0.000    0.000 dataclasses.py:532(<listcomp>)
        1    0.000    0.000    0.000    0.000 spell_chain.py:11(ComputationData)
        1    0.000    0.000    0.000    0.000 spell.py:42(SpellParameters)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        9    0.000    0.000    0.000    0.000 enum.py:977(__and__)
        3    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       34    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 stats.py:11(Characteristics)
        1    0.000    0.000    0.000    0.000 spell_set.py:28(get_spell_list_single_target)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       40    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
        1    0.000    0.000    0.000    0.000 typing.py:524(__init__)
        5    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       40    0.000    0.000    0.000    0.000 dataclasses.py:470(_init_param)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
       29    0.000    0.000    0.000    0.000 spell_chain.py:28(add_spell)
        5    0.000    0.000    0.000    0.000 inspect.py:1866(_signature_is_builtin)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       23    0.000    0.000    0.000    0.000 types.py:171(__get__)
       10    0.000    0.000    0.000    0.000 dataclasses.py:344(_tuple_str)
       17    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       17    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        5    0.000    0.000    0.000    0.000 dataclasses.py:507(<dictcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
