         6448772 function calls (6448576 primitive calls) in 3.124 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      122    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        5    0.000    0.000    0.000    0.000 inspect.py:1840(_signature_bound_method)
        3    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
       43    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        9    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
     14/4    0.000    0.000    0.015    0.004 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     16/9    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
       35    0.000    0.000    0.000    0.000 spell.py:345(set_base_damages)
       13    0.000    0.000    0.000    0.000 typing.py:739(__init__)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
      334    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       34    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       53    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        9    0.000    0.000    0.001    0.000 sre_compile.py:759(compile)
       45    0.000    0.000    0.000    0.000 inspect.py:1233(formatannotation)
       71    0.000    0.000    0.000    0.000 enum.py:358(__call__)
      156    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       71    0.000    0.000    0.000    0.000 enum.py:670(__new__)
        7    0.000    0.000    0.001    0.000 spell.py:481(from_file)
    79/70    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       17    0.000    0.000    0.000    0.000 typing.py:137(_type_check)
       40    0.000    0.000    0.000    0.000 dataclasses.py:416(_field_init)
        9    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
    27/25    0.000    0.000    0.000    0.000 typing.py:786(__repr__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       81    0.000    0.000    0.000    0.000 typing.py:665(_is_dunder)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
     11/3    0.000    0.000    0.014    0.005 <frozen importlib._bootstrap_external>:844(exec_module)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
    27/25    0.000    0.000    0.000    0.000 typing.py:791(<listcomp>)
        8    0.000    0.000    0.000    0.000 typing.py:832(__getitem__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       86    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       40    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
       45    0.000    0.000    0.000    0.000 typing.py:271(inner)
        9    0.000    0.000    0.001    0.000 sre_parse.py:939(parse)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        1    0.000    0.000    0.001    0.001 spell_chain.py:150(<listcomp>)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.008    0.008 stats.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.000    0.000 damage_parameters.py:9(DamageParameters)
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        1    0.000    0.000    0.003    0.003 __init__.py:1(<module>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       29    0.000    0.000    0.000    0.000 spell_chain.py:28(add_spell)
       40    0.000    0.000    0.000    0.000 dataclasses.py:244(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.003    0.003 spell.py:1(<module>)
       72    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
        1    0.000    0.000    0.000    0.000 spell_chain.py:22(SpellChains)
        7    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       17    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       17    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
       75    0.000    0.000    0.000    0.000 dataclasses.py:391(<genexpr>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        9    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
